date,daily_revenue,daily_expenses,credit_score
2022-01-01,12270,9396,800.0
2022-01-02,5860,14096,800.0
2022-01-03,10390,11666,800.0
2022-01-04,18418,12274,800.0
2022-01-05,10191,5558,800.0
2022-01-06,16964,10849,800.0
2022-01-07,16284,5047,800.0
2022-01-08,10734,5747,800.0
2022-01-09,11265,12167,800.0
2022-01-10,5466,12998,800.0
2022-01-11,18526,3189,800.0
2022-01-12,9426,5734,800.0
2022-01-13,10578,6005,800.0
2022-01-14,19423,7658,800.0
2022-01-15,16636,4899,800.0
2022-01-16,16363,10734,800.0
2022-01-17,16111,4267,800.0
2022-01-18,13322,4528,800.0
2022-01-19,6685,14394,800.0
2022-01-20,5769,6556,800.0
2022-01-21,15583,6890,800.0
2022-01-22,18803,11838,800.0
2022-01-23,11949,14080,800.0
2022-01-24,7433,8393,800.0
2022-01-25,10311,13627,800.0
2022-01-26,10051,11792,800.0
2022-01-27,11420,13555,800.0
2022-01-28,6184,13253,800.0
2022-01-29,9555,11433,800.0
2022-01-30,8385,13233,700.0
